Reconstructed monthly NAO index back to Dec 1658.

References:
========

Luterbacher, J., Xoplaki, E., Dietrich, D., Jones, P.D., Davies, T.D.,
Portis, D., Gonzalez-Rouco, J.F., von Storch, H., Gyalistras, D., Casty,
C., and Wanner, H., 2002. Extending North Atlantic Oscillation
Reconstructions Back to 1500. Atmos. Sci. Lett., 2, 114-124 
(doi:10.1006/asle.2001.0044).

Luterbacher, J., C. Schmutz, D. Gyalistras, E. Xoplaki, and H. Wanner, 1999: Reconstruction of monthly NAO and EU indices back to AD 1675,
Geophys. Res. Lett., 26, 2745-2748.


Contact Juerg Luterbacher (juerg@giub.unibe.ch) for further information, other reconstructed atmospheric circulation indices and reprints.


Reconstructed monthly NAO index back to December 1658
========================================================= 

Note, the monthly values from December 1658 to November 1900 are our
reconstructions, the data from December 1900 to July 2001 
are derived from Trenberth and Paolino (1980, updated, data are available through: http://dss.ucar.edu/datasets/ds010.1/data/)

Year	Mon	NAO
1692	Nov	-0.31
1692	Dec	-0.09
1693	Jan	1.23
1693	Feb	1.59
1693	Mar	-0.21
1693	Apr	0.11
1693	May	-0.72
1693	Jun	0.04
1693	Jul	0.21
1693	Aug	0.29
1693	Sep	-0.22
1693	Oct	-0.41
1693	Nov	0.09
1693	Dec	-0.28
1694	Jan	-2.35
1694	Feb	0.02
1694	Mar	0.05
1694	Apr	1.13
1694	May	0.03
1694	Jun	-1.00
1694	Jul	0.04
1694	Aug	0.60
1694	Sep	-0.64
1694	Oct	-1.03
1694	Nov	-0.23
1694	Dec	-0.74
1695	Jan	-3.71
1695	Feb	-3.23
1695	Mar	-1.55
1695	Apr	-1.39
1695	May	-0.83
1695	Jun	-1.59
1695	Jul	-1.23
1695	Aug	-1.25
1695	Sep	-0.89
1695	Oct	-0.36
1695	Nov	-0.87
1695	Dec	-0.42
1696	Jan	1.37
1696	Feb	0.75
1696	Mar	-0.90
1696	Apr	-0.43
1696	May	-0.02
1696	Jun	0.16
1696	Jul	0.06
1696	Aug	0.14
1696	Sep	-0.59
1696	Oct	-0.01
1696	Nov	-0.52
1696	Dec	-1.05
1697	Jan	-2.06
1697	Feb	-1.02
1697	Mar	-0.65
1697	Apr	-0.82
1697	May	-1.37
1697	Jun	0.20
1697	Jul	0.24
1697	Aug	0.69
1697	Sep	0.02
1697	Oct	-0.69
1697	Nov	-1.26
1697	Dec	-0.59
1698	Jan	-0.91
1698	Feb	-0.83
1698	Mar	-0.29
1698	Apr	-0.21
1698	May	-0.72
1698	Jun	0.06
1698	Jul	0.12
1698	Aug	-0.04
1698	Sep	0.12
1698	Oct	-0.13
1698	Nov	-0.52
1698	Dec	-1.39
1699	Jan	-0.35
1699	Feb	-0.91
1699	Mar	-0.85
1699	Apr	-0.63
1699	May	-0.43
1699	Jun	-0.10
1699	Jul	-0.15
1699	Aug	0.66
1699	Sep	0.28
1699	Oct	-0.36
1699	Nov	-0.64
1699	Dec	0.43
1700	Jan	-0.01
1700	Feb	1.03
1700	Mar	-0.82
1700	Apr	0.23
1700	May	0.82
1700	Jun	0.14
1700	Jul	0.24
1700	Aug	-0.63
1700	Sep	-0.12
1700	Oct	0.12
1700	Nov	-0.48
1700	Dec	-0.04
1701	Jan	1.15
1701	Feb	0.86
1701	Mar	-0.65
1701	Apr	-1.76
1701	May	-0.46
1701	Jun	-0.70
1701	Jul	-0.71
1701	Aug	0.56
1701	Sep	0.51
1701	Oct	-0.74
1701	Nov	-0.03
1701	Dec	0.15
1702	Jan	1.65
1702	Feb	1.29
1702	Mar	0.19
1702	Apr	-0.71
1702	May	-0.49
1702	Jun	0.05
1702	Jul	0.36
1702	Aug	0.31
1702	Sep	0.33
1702	Oct	0.20
1702	Nov	-0.82
1702	Dec	0.46
1703	Jan	0.11
1703	Feb	0.96
1703	Mar	-0.37
1703	Apr	-0.20
1703	May	0.79
1703	Jun	-0.23
1703	Jul	-0.13
1703	Aug	-0.19
1703	Sep	0.03
1703	Oct	-0.39
1703	Nov	0.29
1703	Dec	-0.38
1704	Jan	-0.27
1704	Feb	-0.54
1704	Mar	-0.72
1704	Apr	-0.03
1704	May	-0.34
1704	Jun	-0.37
1704	Jul	-0.39
1704	Aug	-0.36
1704	Sep	-0.04
1704	Oct	-0.82
1704	Nov	0.42
1704	Dec	0.32
1705	Jan	-0.77
1705	Feb	-0.76
1705	Mar	-0.35
1705	Apr	0.13
1705	May	-0.51
1705	Jun	-0.67
1705	Jul	0.09
1705	Aug	0.86
1705	Sep	-1.26
1705	Oct	0.66
1705	Nov	-0.76
1705	Dec	1.42
1706	Jan	0.72
1706	Feb	0.83
1706	Mar	-0.22
1706	Apr	0.17
1706	May	0.66
1706	Jun	0.31
1706	Jul	0.09
1706	Aug	0.32
1706	Sep	0.45
1706	Oct	0.39
1706	Nov	0.87
1706	Dec	0.31
1707	Jan	-0.24
1707	Feb	0.06
1707	Mar	-0.10
1707	Apr	0.04
1707	May	-0.41
1707	Jun	0.32
1707	Jul	0.23
1707	Aug	0.06
1707	Sep	0.48
1707	Oct	-0.78
1707	Nov	0.03
1707	Dec	0.97
1708	Jan	2.03
1708	Feb	-1.03
1708	Mar	0.25
1708	Apr	-0.10
1708	May	-0.79
1708	Jun	0.23
1708	Jul	0.19
1708	Aug	0.09
1708	Sep	1.15
1708	Oct	-2.02
1708	Nov	-0.58
1708	Dec	-0.29
1709	Jan	-0.67
1709	Feb	-0.71
1709	Mar	-0.69
1709	Apr	0.70
1709	May	-0.64
1709	Jun	-0.61
1709	Jul	0.32
1709	Aug	0.23
1709	Sep	0.03
1709	Oct	-0.43
1709	Nov	0.45
1709	Dec	0.34
1710	Jan	0.59
1710	Feb	0.42
1710	Mar	0.13
1710	Apr	-0.86
1710	May	-0.30
1710	Jun	0.53
1710	Jul	0.63
1710	Aug	0.22
1710	Sep	-0.13
1710	Oct	-0.29
1710	Nov	0.89
1710	Dec	1.33
1711	Jan	1.62
1711	Feb	-0.17
1711	Mar	0.04
1711	Apr	0.58
1711	May	1.09
1711	Jun	-0.14
1711	Jul	0.46
1711	Aug	0.10
1711	Sep	-0.29
1711	Oct	-0.44
1711	Nov	0.36
1711	Dec	0.37
1712	Jan	0.84
1712	Feb	1.04
1712	Mar	-0.22
1712	Apr	-0.79
1712	May	-1.06
1712	Jun	-0.41
1712	Jul	0.04
1712	Aug	0.08
1712	Sep	-0.25
1712	Oct	0.60
1712	Nov	0.78
1712	Dec	0.43
1713	Jan	1.00
1713	Feb	2.59
1713	Mar	-1.28
1713	Apr	-1.09
1713	May	-1.29
1713	Jun	-0.50
1713	Jul	-0.29
1713	Aug	-0.53
1713	Sep	-0.33
1713	Oct	-0.40
1713	Nov	-1.48
1713	Dec	0.41
1714	Jan	-0.72
1714	Feb	-0.16
1714	Mar	0.16
1714	Apr	-0.09
1714	May	-0.63
1714	Jun	-1.51
1714	Jul	-1.32
1714	Aug	-0.46
1714	Sep	-0.50
1714	Oct	0.06
1714	Nov	0.57
1714	Dec	-0.02
1715	Jan	-0.36
1715	Feb	0.47
1715	Mar	-0.09
1715	Apr	0.40
1715	May	-0.63
1715	Jun	-0.02
1715	Jul	0.10
1715	Aug	0.07
1715	Sep	0.00
1715	Oct	0.80
1715	Nov	0.12
1715	Dec	-1.63
1716	Jan	-2.41
1716	Feb	-0.39
1716	Mar	-0.60
1716	Apr	-0.56
1716	May	-0.79
1716	Jun	0.21
1716	Jul	0.19
1716	Aug	0.18
1716	Sep	-0.81
1716	Oct	-0.50
1716	Nov	-0.73
1716	Dec	-0.61
1717	Jan	-0.26
1717	Feb	-0.57
1717	Mar	-0.43
1717	Apr	-0.61
1717	May	-0.70
1717	Jun	0.13
1717	Jul	0.41
1717	Aug	0.28
1717	Sep	-0.19
1717	Oct	-0.22
1717	Nov	-0.40
1717	Dec	-0.42
1718	Jan	-1.04
1718	Feb	-0.86
1718	Mar	0.04
1718	Apr	-0.08
1718	May	0.20
1718	Jun	0.02
1718	Jul	-0.04
1718	Aug	0.06
1718	Sep	0.19
1718	Oct	-0.02
1718	Nov	0.45
1718	Dec	0.24
1719	Jan	-0.45
1719	Feb	0.16
1719	Mar	0.30
1719	Apr	-1.37
1719	May	-0.31
1719	Jun	-0.43
1719	Jul	0.09
1719	Aug	0.02
1719	Sep	-0.17
1719	Oct	-0.62
1719	Nov	-0.20
1719	Dec	-0.73
1720	Jan	0.10
1720	Feb	-0.41
1720	Mar	-0.89
1720	Apr	-0.42
1720	May	0.21
1720	Jun	-0.24
1720	Jul	-0.24
1720	Aug	0.32
1720	Sep	-0.38
1720	Oct	-0.14
1720	Nov	-0.15
1720	Dec	-0.10
1721	Jan	0.59
1721	Feb	-1.15
1721	Mar	-1.71
1721	Apr	0.49
1721	May	-0.52
1721	Jun	0.08
1721	Jul	0.08
1721	Aug	0.12
1721	Sep	0.32
1721	Oct	-0.87
1721	Nov	0.10
1721	Dec	-0.12
1722	Jan	0.10
1722	Feb	0.92
1722	Mar	0.75
1722	Apr	-0.37
1722	May	0.39
1722	Jun	1.23
1722	Jul	0.90
1722	Aug	1.43
1722	Sep	-0.82
1722	Oct	0.49
1722	Nov	2.51
1722	Dec	1.01
1723	Jan	-0.30
1723	Feb	1.33
1723	Mar	2.29
1723	Apr	0.59
1723	May	-0.53
1723	Jun	-0.47
1723	Jul	-1.48
1723	Aug	2.25
1723	Sep	-0.81
1723	Oct	0.95
1723	Nov	0.15
1723	Dec	1.84
1724	Jan	2.49
1724	Feb	0.53
1724	Mar	0.57
1724	Apr	-1.19
1724	May	-1.54
1724	Jun	-0.46
1724	Jul	-0.83
1724	Aug	0.15
1724	Sep	-0.77
1724	Oct	-0.68
1724	Nov	-0.81
1724	Dec	-1.16
1725	Jan	1.17
1725	Feb	-0.41
1725	Mar	0.29
1725	Apr	-1.11
1725	May	0.28
1725	Jun	0.34
1725	Jul	0.25
1725	Aug	-0.49
1725	Sep	-1.58
1725	Oct	-1.26
1725	Nov	0.21
1725	Dec	0.82
1726	Jan	-1.19
1726	Feb	0.18
1726	Mar	0.02
1726	Apr	-0.23
1726	May	0.29
1726	Jun	-0.57
1726	Jul	0.04
1726	Aug	-0.08
1726	Sep	0.06
1726	Oct	-0.44
1726	Nov	-0.31
1726	Dec	-1.76
1727	Jan	0.46
1727	Feb	-0.23
1727	Mar	0.11
1727	Apr	-0.80
1727	May	0.17
1727	Jun	-0.49
1727	Jul	-0.76
1727	Aug	0.28
1727	Sep	2.43
1727	Oct	0.80
1727	Nov	0.64
1727	Dec	0.42
1728	Jan	1.05
1728	Feb	-1.80
1728	Mar	0.86
1728	Apr	-0.28
1728	May	0.05
1728	Jun	-0.17
1728	Jul	-0.60
1728	Aug	0.92
1728	Sep	0.26
1728	Oct	0.05
1728	Nov	-0.32
1728	Dec	-0.93
1729	Jan	-1.06
1729	Feb	-0.75
1729	Mar	-1.78
1729	Apr	-0.57
1729	May	-1.03
1729	Jun	-0.11
1729	Jul	-0.26
1729	Aug	-1.06
1729	Sep	0.73
1729	Oct	0.58
1729	Nov	0.05
1729	Dec	0.65
1730	Jan	-0.39
1730	Feb	0.51
1730	Mar	0.00
1730	Apr	-0.33
1730	May	0.34
1730	Jun	0.24
1730	Jul	0.86
1730	Aug	2.06
1730	Sep	-0.27
1730	Oct	-1.15
1730	Nov	0.66
1730	Dec	0.14
1731	Jan	-0.99
1731	Feb	-0.93
1731	Mar	0.51
1731	Apr	-0.62
1731	May	-0.71
1731	Jun	-0.57
1731	Jul	-0.58
1731	Aug	-1.63
1731	Sep	-0.25
1731	Oct	0.68
1731	Nov	0.91
1731	Dec	0.51
1732	Jan	-1.26
1732	Feb	1.13
1732	Mar	2.12
1732	Apr	0.39
1732	May	-0.27
1732	Jun	0.06
1732	Jul	1.24
1732	Aug	1.69
1732	Sep	-0.18
1732	Oct	0.49
1732	Nov	-0.07
1732	Dec	-2.43
1733	Jan	1.93
1733	Feb	1.25
1733	Mar	1.13
1733	Apr	-0.03
1733	May	-0.53
1733	Jun	-0.60
1733	Jul	0.60
1733	Aug	-0.84
1733	Sep	-0.73
1733	Oct	0.20
1733	Nov	0.72
1733	Dec	2.20
1734	Jan	0.24
1734	Feb	1.67
1734	Mar	0.94
1734	Apr	0.24
1734	May	-0.28
1734	Jun	-1.24
1734	Jul	-0.63
1734	Aug	-0.53
1734	Sep	-0.37
1734	Oct	0.58
1734	Nov	-1.28
1734	Dec	-0.06
1735	Jan	1.49
1735	Feb	0.94
1735	Mar	0.98
1735	Apr	0.47
1735	May	0.71
1735	Jun	-0.49
1735	Jul	0.26
1735	Aug	-0.18
1735	Sep	0.93
1735	Oct	-1.00
1735	Nov	-0.83
1735	Dec	0.08
1736	Jan	1.04
1736	Feb	-0.29
1736	Mar	-0.85
1736	Apr	-0.07
1736	May	-0.63
1736	Jun	-0.41
1736	Jul	0.66
1736	Aug	0.40
1736	Sep	-0.90
1736	Oct	0.03
1736	Nov	0.50
1736	Dec	1.86
1737	Jan	1.87
1737	Feb	1.05
1737	Mar	1.11
1737	Apr	-0.49
1737	May	0.56
1737	Jun	-0.37
1737	Jul	0.41
1737	Aug	1.49
1737	Sep	1.61
1737	Oct	0.82
1737	Nov	-0.24
1737	Dec	0.41
1738	Jan	0.77
1738	Feb	0.51
1738	Mar	0.67
1738	Apr	0.93
1738	May	0.13
1738	Jun	0.22
1738	Jul	0.78
1738	Aug	2.84
1738	Sep	1.06
1738	Oct	1.85
1738	Nov	-1.40
1738	Dec	0.57
1739	Jan	-0.17
1739	Feb	0.73
1739	Mar	1.36
1739	Apr	-1.35
1739	May	-0.64
1739	Jun	-0.57
1739	Jul	0.17
1739	Aug	0.55
1739	Sep	1.05
1739	Oct	-1.27
1739	Nov	-1.47
1739	Dec	1.56
1740	Jan	-2.38
1740	Feb	-1.14
1740	Mar	-0.38
1740	Apr	-0.55
1740	May	-1.46
1740	Jun	-0.13
1740	Jul	-0.16
1740	Aug	0.09
1740	Sep	2.04
1740	Oct	-1.88
1740	Nov	-0.93
1740	Dec	0.37
1741	Jan	-1.54
1741	Feb	0.98
1741	Mar	-0.94
1741	Apr	-1.10
1741	May	-0.74
1741	Jun	-0.27
1741	Jul	-0.95
1741	Aug	0.20
1741	Sep	0.42
1741	Oct	0.96
1741	Nov	1.13
1741	Dec	0.08
1742	Jan	-0.78
1742	Feb	1.19
1742	Mar	-1.08
1742	Apr	-1.52
1742	May	-1.32
1742	Jun	-1.59
1742	Jul	0.46
1742	Aug	-0.61
1742	Sep	-0.99
1742	Oct	0.64
1742	Nov	0.95
1742	Dec	-2.48
1743	Jan	1.09
1743	Feb	1.32
1743	Mar	0.48
1743	Apr	0.44
1743	May	0.18
1743	Jun	0.91
1743	Jul	0.06
1743	Aug	1.53
1743	Sep	-0.04
1743	Oct	-0.68
1743	Nov	1.67
1743	Dec	0.09
1744	Jan	-0.60
1744	Feb	-0.36
1744	Mar	0.61
1744	Apr	1.09
1744	May	0.26
1744	Jun	1.87
1744	Jul	-0.51
1744	Aug	0.71
1744	Sep	0.59
1744	Oct	-0.02
1744	Nov	0.57
1744	Dec	-0.58
1745	Jan	-0.03
1745	Feb	-0.95
1745	Mar	-0.23
1745	Apr	-0.75
1745	May	0.09
1745	Jun	2.04
1745	Jul	0.09
1745	Aug	-0.10
1745	Sep	-1.02
1745	Oct	0.00
1745	Nov	-0.98
1745	Dec	-1.31
1746	Jan	0.53
1746	Feb	-0.69
1746	Mar	-1.20
1746	Apr	-0.19
1746	May	0.07
1746	Jun	0.44
1746	Jul	0.32
1746	Aug	2.26
1746	Sep	0.92
1746	Oct	0.00
1746	Nov	-1.37
1746	Dec	1.20
1747	Jan	-1.08
1747	Feb	0.27
1747	Mar	-2.22
1747	Apr	-0.57
1747	May	0.16
1747	Jun	0.84
1747	Jul	-0.73
1747	Aug	-0.35
1747	Sep	1.53
1747	Oct	0.70
1747	Nov	-0.12
1747	Dec	1.65
1748	Jan	-0.45
1748	Feb	0.40
1748	Mar	-2.92
1748	Apr	-0.05
1748	May	0.41
1748	Jun	0.16
1748	Jul	0.67
1748	Aug	-0.31
1748	Sep	-0.26
1748	Oct	0.56
1748	Nov	-0.94
1748	Dec	1.54
1749	Jan	1.61
1749	Feb	-0.24
1749	Mar	-1.26
1749	Apr	-0.67
1749	May	0.86
1749	Jun	0.66
1749	Jul	-0.08
1749	Aug	0.95
1749	Sep	-0.10
1749	Oct	-1.07
1749	Nov	-0.26
1749	Dec	0.97
1750	Jan	0.62
1750	Feb	2.79
1750	Mar	2.27
1750	Apr	1.55
1750	May	-0.43
1750	Jun	0.11
1750	Jul	-0.61
1750	Aug	0.80
1750	Sep	-0.36
1750	Oct	-2.56
1750	Nov	-2.75
1750	Dec	-1.37
1751	Jan	0.01
1751	Feb	-1.95
1751	Mar	2.21
1751	Apr	-0.47
1751	May	0.24
1751	Jun	-0.19
1751	Jul	-0.15
1751	Aug	1.16
1751	Sep	-0.64
1751	Oct	-0.26
1751	Nov	-0.59
1751	Dec	-0.71
1752	Jan	-0.68
1752	Feb	-0.46
1752	Mar	0.93
1752	Apr	-0.94
1752	May	-1.08
1752	Jun	0.53
1752	Jul	1.37
1752	Aug	2.44
1752	Sep	-0.56
1752	Oct	0.30
1752	Nov	0.58
1752	Dec	-0.04
1753	Jan	-1.47
1753	Feb	0.32
1753	Mar	0.64
1753	Apr	0.52
1753	May	-0.89
1753	Jun	-0.32
1753	Jul	0.62
1753	Aug	0.35
1753	Sep	-0.25
1753	Oct	1.00
1753	Nov	0.09
1753	Dec	-3.21
1754	Jan	-0.40
1754	Feb	0.57
1754	Mar	-1.98
1754	Apr	-0.74
1754	May	0.36
1754	Jun	0.94
1754	Jul	0.09
